,station_id,elevation,lat,lon,original_id
357,Hof_3,565.2,50.3123,11.876,2261
358,Ventschow_2,43.0,53.7784,11.5595,2272
359,Hohenberg/Eger_2,518.0,50.092,12.2134,2274
360,Hohenbucko_1,131.0,51.764,13.47,2278
361,Hohenpeißenberg_4,977.2,47.8009,11.0108,2290
362,Hohenstein-Breithardt_7,315.0,50.1918,8.0888,2293
363,Hohenthann_1,468.0,48.6572,12.0887,2294
364,Hohwacht_2,8.0,54.3194,10.6732,2306
365,Holzkirchen_1,685.0,47.8823,11.6961,2319
366,"Bevern, Kr. Holzminden_3",110.0,51.8529,9.4953,2323
367,"Homburg, Bad (Filterwerk)_3",255.0,50.2446,8.5725,2329
368,Homburg/Saar_9,235.0,49.3278,7.3533,2331
369,Hude/Oldenburg_5,4.0,53.1228,8.4205,2355
370,Hümmerich_2,328.0,50.5651,7.4843,2362
371,Stützengrün-Hundshübel_7,604.0,50.5466,12.5706,2372
372,Büchlberg-Tannöd_4,455.0,48.6549,13.5077,2376
373,Buchloe_1,626.0,48.0374,10.7409,2387
374,Ihringen_1,193.0,48.0419,7.6322,2388
375,Immenstadt-Reute_4,960.0,47.6078,10.202,2405
376,Ingolstadt (Flussmeisterstelle)_8,360.0,48.7662,11.4539,2409
377,Inzell_3,690.0,47.7592,12.7502,2412
378,Irschenberg-Kasthub_1,712.5,47.8177,11.8681,2415
379,Isen-Westach_2,548.5,48.2022,12.0382,2416
380,Itzehoe_1,21.0,53.9897,9.5696,2429
381,Itzgrund-Herreth_2,366.5,50.1337,10.9317,2431
382,Uckerland-Karlstein_2,41.0,53.4277,13.8166,2438
383,Jena (Sternwarte)_1,155.0,50.9251,11.583,2444
384,Jettenbach_2,403.0,48.178,12.3798,2453
385,Jork-Moorende_1,1.0,53.5083,9.7376,2465
386,Jülich (Kläranlage)_6,76.0,50.9316,6.3431,2473
387,Kahl/Main_6,107.5,50.0643,8.993,2480
388,Kahler Asten_4,839.0,51.1803,8.4891,2483
389,Kaisersbach-Cronhütte_8,488.7,48.917,9.6871,2485
390,Kaiserslautern_12,271.0,49.4262,7.7557,2486
391,Kall-Sistig_2,505.0,50.5014,6.5264,2497
392,Groß Kiesow-Schlagtow_3,34.0,54.0117,13.4999,2518
393,Karstädt/Prignitz_1,32.0,53.1724,11.7491,2531
394,"Kastl, Kreis Amberg-Sulzbach_3",424.5,49.3658,11.6925,2538
395,Katzhütte_5,452.0,50.5467,11.0317,2541
396,Kehl-Odelshofen_3,141.0,48.5576,7.88,2546
397,Kelheim_2,350.0,48.9244,11.85,2550
398,Kempten_6,705.2,47.7233,10.3348,2559
399,Helbedündorf-Keula_7,428.0,51.334,10.529,2562
400,Kiel-Holtenau_3,28.41,54.3776,10.1424,2564
401,Kirchberg/Jagst-Herboldshausen_3,431.5,49.1804,9.98,2575
402,"Kirchdorf, Kreis Diepholz_2",34.0,52.6007,8.8522,2577
403,Kirchdorf/Poel_1,14.0,53.9995,11.4341,2578
404,Kirn_6,181.0,49.789,7.4853,2595
405,"Kissingen, Bad_8",281.8,50.224,10.0792,2597
406,Kitzingen_6,193.0,49.7363,10.1781,2600
407,Kleiner Feldberg/Taunus_6,822.1,50.2218,8.4469,2601
408,Kleiner Inselsberg_0,732.0,50.8458,10.4803,2618
409,Kleßen_1,38.0,52.739,12.4984,2625
410,Klettwitz_0,128.0,51.5554,13.8845,2627
411,Kleve_9,46.0,51.7612,6.0954,2629
412,Klippeneck_2,973.46,48.1054,8.7548,2638
413,Klitzschen bei Torgau_1,90.4,51.5185,12.9065,2641
414,Kochel-Einsiedl (Kraftwerk)_2,805.0,47.5699,11.3006,2660
415,Köckte_1,59.0,52.5233,11.1261,2662
416,Köln-Bonn_4,92.0,50.8646,7.1575,2667
417,Königsborn_5,52.5,52.1331,11.7757,2673
418,Königsfeld/Schwarzwald_4,730.0,48.1413,8.4285,2677
419,"Königshofen, Bad_8",288.5,50.284,10.4456,2680
420,Königsmoor_2,40.0,53.2279,9.6527,2689
421,Kösching_3,416.0,48.8302,11.4872,2700
422,Köthen (Anhalt)_3,76.44,51.7511,12.0094,2704
423,"Kohlgrub, Bad (Rosshof)_1",742.0,47.6652,11.0805,2708
424,Kolitzheim_4,230.0,49.9164,10.2363,2709
425,Konstanz_5,428.06,47.6952,9.1307,2712
426,Korbach-Rhena_4,458.0,51.288,8.7928,2718
427,Kremmen-Groß Ziethen_2,45.6,52.7277,13.0121,2733
428,Krempel_7,1.5,54.3237,9.0247,2734
429,Kreuth-Glashütte_1,897.0,47.6105,11.6462,2740
430,Gersdorf_3,52.0,54.0805,11.7425,2749
431,Kronach_5,310.0,50.2524,11.3209,2750
432,Krün_1,873.0,47.5041,11.2814,2759
433,Norden-Leybuchtpolder_2,1.0,53.5039,7.1217,2763
434,Kuhbier_1,63.0,53.1486,12.0851,2779
435,Kupferzell-Rechbach_2,354.0,49.2428,9.6786,2787
436,Diedorf/Schwaben-Biburg_1,498.0,48.3737,10.7604,2792
437,Kyritz_7,40.0,52.9362,12.4093,2794
438,"Lage, Kreis Lippe-Hörste_4",150.0,51.9446,8.7749,2810
439,Lahr_7,155.74,48.3647,7.828,2812
